SP;NCOL;LT;DI;PLM ;FTLM;FTWM;FTLM/FTWM;STLM;STWM;STLM/STWM;LLM;MLWM;LLM/MLWM;WMPM;LLM/WMPM;DBMWM;LLM/DBMWM ;DLAUM;TLWM;DLAUM/TLWM;LLM/DLAUM;NTM;LFSDM;LSSDM;PLS;FTLS;FTWS;FTLS/FTWS;STLS;STWS;STLS/STWS;LLS;MLWS;LLS/MLWS;WMPS;LLS/WMPS;DLBMWS;LLS/DLBMWS;DLAUS;TLWS;DLAUS/TLWS;LLS/DLAUS;NTS;LFSDS;LSSDS
V.sennenii;SALA93487;31;5950;0;67;64;105;67;106;63;1528;741;206;665;230;450;340;284;278;102;538;600;0;0;0;26;28;93;0;0;0;1190;217;548;204;583;483;246;501;151;332;238;50;0;0
V.sennenii;SEST38691;54;5300;24;63;81;78;63;85;74;2166;691;313;582;372;579;374;752;402;187;288;567;0;0;0;0;0;0;0;0;0;2217;342;648;295;752;910;244;0;0;0;0;0;0;0
V.tenuifolia-fon;GDA26404;25;8533;36;116;71;163;106;70;151;1324;407;325;334;396;969;137;270;173;156;490;400;0;0;0;103;72;143;96;61;157;1210;271;446;222;545;719;168;252;131;192;480;333;0;0
V.tenuifolia-fon;MA389465;47;7133;0;67;59;114;109;83;131;950;367;259;324;293;458;207;237;211;112;401;250;0;0;0;42;55;76;0;0;0;1160;179;648;146;795;770;151;357;138;259;325;100;0;0
V.tenuifolia-fon;MGC36827;54;4033;0;88;72;122;114;91;125;1360;461;295;375;363;832;163;346;201;172;393;467;0;0;0;127;59;215;155;73;212;1440;427;337;347;415;896;161;466;188;248;309;400;0;0
V.tenuifolia-fon;MGC46659;45;6533;0;104;79;132;142;108;131;1313;501;262;402;327;608;216;217;145;150;605;433;0;0;0;85;58;147;100;89;112;1252;259;483;181;692;667;188;315;127;248;397;233;0;0
V.tenuifolia-fon;SALA95041;49;3100;56;169;74;228;103;80;129;1118;422;265;357;313;518;216;343;212;162;326;233;0;0;0;161;46;350;126;62;203;935;387;242;182;514;415;225;411;117;351;227;300;0;0
V.tenuifolia- jav;B147196;48;4700;0;289;195;148;181;59;307;758;426;178;348;218;294;258;151;91;166;502;400;0;0;0;45;19;237;26;18;144;778;142;548;142;548;395;197;234;82;285;332;67;0;0
V.tenuifolia- jav;E32503;49;2250;0;403;59;683;203;64;317;1015;541;187;423;240;357;284;297;146;203;342;400;0;0;0;118;53;223;137;50;274;977;263;371;218;448;545;179;157;113;139;622;450;0;0
V.tenuifolia- jav;JACA463686;59;4566;0;120;61;197;142;70;203;1012;377;268;310;326;457;221;183;128;143;553;467;0;0;0;71;37;192;46;53;87;803;256;314;241;333;440;183;205;114;180;392;400;0;0
V.tenuifolia- jav;MA339646;42;4933;0;264;58;455;351;93;377;1201;580;207;510;235;457;263;412;216;191;292;333;0;0;0;100;50;200;170;66;258;915;340;269;283;323;636;144;257;164;157;356;300;0;0
V.tenuifolia- jav;MA468044;96;9567;0;244;83;294;333;88;378;934;480;195;401;233;311;300;344;163;211;272;267;0;0;0;224;86;260;37;19;195;873;348;251;340;257;407;214;332;170;195;263;133;0;0
V.tenuifolia- jav;MA532710;61;5700;0;306;78;392;188;97;194;1160;567;205;528;220;500;232;340;318;107;341;300;0;0;0;71;75;95;49;70;70;989;314;315;262;377;649;152;268;222;121;369;167;0;0
V.tenuifolia- jav;SALA93463;56;8200;0;236;68;347;380;97;392;937;602;156;492;190;406;231;307;162;190;305;367;0;0;0;153;52;294;220;50;440;906;365;248;233;389;560;162;367;141;260;247;300;0;0
V.tenuifolia- jav;SALA1411;49;8100;0;262;58;452;294;81;363;881;395;223;377;234;233;378;221;112;197;399;300;0;0;0;164;49;335;248;39;636;800;273;293;256;313;439;182;419;77;544;191;200;0;0
V.tenuifolia- jav;SALA49322;60;6633;0;248;44;564;180;46;391;709;388;183;313;227;160;443;314;142;221;226;333;0;0;0;177;55;322;0;0;0;605;284;213;248;244;354;171;397;155;256;152;100;0;0
V.tenuifolia- jav;SALA93456;55;4600;0;283;130;218;168;115;146;888;582;152;451;197;312;285;192;249;77;463;333;0;0;0;49;59;83;65;64;102;697;356;196;314;222;404;173;162;226;72;430;300;0;0
