SPECIES;ACCESION.NUMBER;PLM ;PLS;FTWM;FTWS;STWM;STWS;LLM;LLS;FTLM;FTLS;STLM;STLS;MLWM;MLWS;WMPM;WMPS;DLBMWM;DLBMWS;DLAUM;DLAUS;TLWM;TLWS;NTM;NTS
V.tenuifolia fontqueri;MGC36827(1);0;0;0.71;0.48;1.3;1.05;17.09;17.42;1.13;0.47;0.92;1.79;5.78;4.41;5.5;3.66;8.2;12.59;3.93;3.1;3.36;2.56;6;7
V.tenuifolia fontqueri;MGC36827(2);0;0;0.57;0.87;0.83;0.52;12.47;14.79;0.84;2.04;1.46;1.77;4.01;4.87;2.72;3.96;8.75;9.11;4.28;6.62;1.39;1.69;4;2
V.tenuifolia fontqueri;MGC36827(3);0;0;0.87;0.42;0.61;0.63;11.24;11;0.67;1.31;1.05;1.08;4.05;3.54;3.02;2.8;8.01;5.19;2.18;4.25;1.29;1.4;4;3
V.tenuifolia fontqueri;MGC36827;0;0;72;59;91;73;1360;1440;88;127;114;155;461;427;375;347;832;896;346;466;201;188;467;400
V.tenuifolia javalambrensis;SALA93456(1);0;0;1.2;0.64;1.25;0.62;9.67;7.52;3.3;0.6;1.68;0.68;5.2;4.19;4.38;3.57;3.37;5.13;1.72;1.78;2.41;2.73;4;3
V.tenuifolia javalambrensis;SALA93456(2);0;0;1.53;0.53;1.19;0.66;7.54;6.41;1.83;0.38;1.54;0.61;4.52;2.93;3.32;2.7;2.31;2.95;2.33;1.45;2.13;1.78;2;3
V.tenuifolia javalambrensis;SALA93456(3);0;;1.18;;1.01;;9.42;;3.35;;1.83;;7.73;;5.83;;3.67;;1.7;;2.93;;4;
V.tenuifolia javalambrensis;SALA93456;0;0;130;59;115;64;888;697;283;49;168;65;582;356;451;314;312;404;192;162;249;226;333;300
V.tenuifolia javalambrensis;SALA93468(1);0;0;0.73;0.53;0.94;0.49;9.5;11.35;3.85;2.45;3.83;1.87;6.19;3.44;5.39;2.44;2.6;3.54;4.21;4.01;1.5;0.95;3;3
V.tenuifolia javalambrensis;SALA93468(2);0;0;0.45;0.44;0.77;0.69;10.56;8.55;2.95;2.52;2.96;2.37;4.86;3.58;4.13;3.21;2.75;4.88;2.35;3.49;1.02;1.17;3;2
V.tenuifolia javalambrensis;SALA93468(3);0;0;0.46;0.47;0.64;0.59;12.24;8.21;5.51;1.7;3.32;1.46;4.94;2.87;4.55;2.83;5.33;3.51;4;3.61;1.74;1.24;3;2
V.tenuifolia javalambrensis;SALA93468;0;0;55;48;78;59;1077;937;410;222;337;190;533;330;469;282;356;398;352;370;142;112;300;233
V.tenuifolia javalambrensis;JACA463686(1);0;0;0.41;0.31;0.98;0.53;11.86;9.16;1.06;0.67;1.13;0.55;3.89;2.86;2.51;2.72;6.57;4.82;2.1;1.83;1.39;1.44;5;4
V.tenuifolia javalambrensis;JACA463686(2);0;0;0.79;0.43;0.53;0.53;8.74;6.9;2.17;0.74;2.22;0.36;3.99;2.26;3.74;2.09;1.66;3.98;1.28;2.27;1.13;0.84;5;4
V.tenuifolia javalambrensis;JACA463686(3);0;;0.63;;0.58;;9.76;;0.37;;0.91;;3.44;;3.04;;5.48;;2.11;;1.33;;4;
V.tenuifolia javalambrensis;JACA463686;0;0;61;37;70;53;1012;803;120;71;142;46;377;256;310;241;457;440;183;205;128;114;467;400
V.tenuifolia javalambrensis;VIT37034(1);0;0;0.82;0.61;0.77;0.78;10.33;8.09;2.23;1.74;4.03;2.66;5.97;4.02;4.97;3.37;6.49;4.17;3.84;3.3;0.93;1.14;3;4
V.tenuifolia javalambrensis;VIT37034(2);0;0;0.68;0.65;0.54;0.47;9.27;9.21;3.27;1.5;2.89;0.93;6.87;3.92;4.8;3.55;3.03;4.89;2.04;1.93;1.22;0.9;4;4
V.tenuifolia javalambrensis;VIT37034(3);0;0;0.75;0.46;0.56;0.55;11.53;8.62;4.76;1.01;4.83;1.49;10.09;2.47;7.05;2.39;2.5;5.91;2.2;3.38;1.04;0.87;6;3
V.tenuifolia javalambrensis;VIT37034;0;0;75;57;62;60;1038;864;342;142;392;169;764;347;561;310;401;499;269;287;106;97;433;367
V.tenuifolia javalambrensis;SALA49322(1);0;0;0.63;0.6;0.48;0;8.3;7.21;3.05;2.03;2.27;0;4.41;2.71;3.99;2.45;1.78;3.65;1.94;5.04;1.49;1.61;4;1
V.tenuifolia javalambrensis;SALA49322(2);0;0;0.38;0.52;0.53;0;7.2;6.15;1.91;2;1.9;0;3.6;3.29;2.46;2.89;1.72;4.07;4.01;3.74;1.6;1.73;3;1
V.tenuifolia javalambrensis;SALA49322(3);0;0;0.3;0.54;0.37;0;5.78;4.79;2.47;1.29;1.23;0;3.65;2.51;2.94;2.11;1.31;2.9;3.48;3.13;1.16;1.31;3;1
V.tenuifolia javalambrensis;SALA49322;0;0;44;55;46;0;709;605;248;177;180;0;388;284;313;248;160;354;314;397;142;155;333;100
V.tenuifolia javalambrensis;E32503(1);0;0;0.76;0.66;0.95;0.61;10.1;9.83;2.05;0.94;2.18;1;5.26;3.1;4.1;2.31;2.87;5.99;1.46;1.28;1.29;1.09;4;5
V.tenuifolia javalambrensis;E32503(2);0;0;0.42;0.39;0.32;0.39;10.2;9.71;6.01;1.41;1.87;1.73;5.55;2.16;4.35;2.04;4.26;4.91;4.48;1.85;1.62;1.16;4;4
V.tenuifolia javalambrensis;E32503;0;0;59;53;64;50;1015;977;403;118;203;137;541;263;423;218;357;545;297;157;146;113;400;450
V.tenuifolia javalambrensis;B147196(1);0;0;0.35;0;0.66;0;7.34;7.42;2.44;0;2.11;0;3.62;0.76;3.11;0.76;3.04;4.22;1.7;;0.78;;4;0
V.tenuifolia javalambrensis;B147196(2);0;0;4.93;0;0.54;0;8.26;8.77;5.1;0;1.53;0;5.45;0.81;3.62;0.81;2.41;4.11;1.04;;1;;5;0
V.tenuifolia javalambrensis;B147196(3);0;0;0.56;0.56;0.58;0.53;7.14;7.14;1.13;1.35;1.78;0.78;3.7;2.69;3.7;2.69;3.37;3.53;1.78;2.34;0.95;0.82;3;2
V.tenuifolia javalambrensis;B147196;0;0;195;19;59;18;758;778;289;45;181;26;426;142;348;142;294;395;151;234;91;82;400;67
V.tenuifolia javalambrensis;MA339646(1);0;0;0.43;0.57;1.23;0.56;11.56;8.98;2.26;1.3;3.5;1.37;5.35;3.14;4.84;2.68;5.6;6.17;4.07;2.68;2.24;1.79;3;3
V.tenuifolia javalambrensis;MA339646(2);0;0;0.91;0.55;0.9;0.65;12.89;9.39;3.24;0.79;2.62;1.32;5.99;3.54;4.7;3.14;2.65;7.03;2.08;1.75;2.29;1.55;4;3
V.tenuifolia javalambrensis;MA339646(3);0;0;0.4;0.39;0.67;0.78;11.59;9.07;2.41;0.9;4.41;2.4;6.05;3.51;5.75;2.67;5.45;5.87;6.22;3.24;1.95;1.57;3;3
V.tenuifolia javalambrensis;MA339646;0;0;58;50;93;66;1201;915;264;100;351;170;580;340;510;283;457;636;412;257;216;164;333;300
V.tenuifolia javalambrensis;SALA1411(1);0;;0.67;;0.79;;7.56;;1.88;;2.39;;3.4;;3.4;;3.05;;1.1;;0.81;;3;
V.tenuifolia javalambrensis;SALA1411(2);0;0;0.49;0.49;0.83;0.39;10.05;8;3.36;1.64;3.49;2.48;4.5;2.73;4.13;2.56;1.61;4.39;3.32;4.19;1.43;0.77;3;2
V.tenuifolia javalambrensis;SALA1411;0;0;58;49;81;39;881;800;262;164;294;248;395;273;377;256;233;439;221;419;112;77;300;200
V.tenuifolia javalambrensis;SALA93463(1);0;0;0.7;0.54;1.21;0.43;10.48;10.98;2.95;2.02;2.03;2.95;5.32;3.89;5.32;2.48;5.18;6.98;4.63;4.8;2.16;1.76;3;4
V.tenuifolia javalambrensis;SALA93463(2);0;0;0.57;0.41;0.8;0.56;7.19;7.05;1.11;1.73;3.91;1.39;5.06;2.91;4.65;1.53;4.27;5.42;1.05;3.11;1.24;0.91;4;3
V.tenuifolia javalambrensis;SALA93463(3);0;0;0.76;0.61;0.9;0.51;10.43;9.15;3.03;0.84;5.45;2.25;7.69;4.16;4.78;2.99;2.73;4.39;3.53;3.09;1.47;1.55;4;2
V.tenuifolia javalambrensis;SALA93463;0;0;68;52;97;50;937;906;236;153;380;220;602;365;492;233;406;560;307;367;162;141;367;300
V.tenuifolia javalambrensis;MA468044(1);0;0;1.15;0.52;0.91;0.58;9.26;9.02;2.12;2;2.07;1.1;3.67;2.63;3.05;2.4;0.83;3.69;4;2.11;1.75;1.5;2;2
V.tenuifolia javalambrensis;MA468044(2);0;0;0.66;0.95;1.1;0;8.16;7.87;2.09;2.47;5.6;0;5.73;3.49;5.44;3.49;6.1;3.89;1.97;2.86;1.78;1.82;3;1
V.tenuifolia javalambrensis;MA468044(3);0;0;0.69;1.12;0.62;0;10.59;9.31;3.12;2.26;2.32;0;5.01;4.31;3.54;4.31;2.4;4.62;4.34;4.98;1.37;1.79;3;1
V.tenuifolia javalambrensis;MA468044;0;0;83;86;88;19;934;873;244;224;333;37;480;348;401;340;311;407;344;332;163;170;267;133
V.tenuifolia javalambrensis;MA532710(1);0;0;0.5;0.65;0.65;0;10.17;10.11;4.27;0.46;1.78;0;4.92;2.29;4.58;1.64;2.39;5.97;2.8;2.59;2.92;1.84;3;1
V.tenuifolia javalambrensis;MA532710(2);0;0;0.56;0.68;0.93;1.04;13.78;8.84;0.85;0.89;0.96;0.56;5.85;3.59;5.09;2.76;7.96;6.99;3.06;2.75;3.5;2.89;4;2
V.tenuifolia javalambrensis;MA532710(3);0;0;1.27;0.91;1.34;1.05;10.86;10.73;4.06;0.79;2.9;0.92;6.23;3.54;6.16;3.47;4.64;6.52;4.33;2.69;3.11;1.93;2;2
V.tenuifolia javalambrensis;MA532710;0;0;78;75;97;70;1160;989;306;71;188;49;567;314;528;262;500;649;340;268;318;222;300;167
V.tenuifolia tenuifolia;JACA61188(1);0.77;0;0.39;0.37;0.42;0.46;10.24;11.65;4.88;3.6;5.62;4.25;6.63;4.88;6.63;3.07;5.05;3.31;4;5.31;0.62;0.59;3;3
V.tenuifolia tenuifolia;JACA61188(2);0.85;1.67;0.41;0.32;0.52;0.26;9.3;12.76;3.25;4.05;3.72;2.81;5.65;5.45;2.46;1.96;1.77;3.87;2.42;4.98;0.41;0.52;3;2
V.tenuifolia tenuifolia;JACA61188(3);0;0;0.49;0.4;0.56;0.46;9.29;13.38;4.73;3.54;3.44;3.03;5.26;4.01;3.91;1.61;5.34;3.33;3.32;4.41;0.53;0.7;3;3
V.tenuifolia tenuifolia;JACA61188;54;56;43;36;50;39;961;1260;429;373;426;336;585;478;433;221;405;350;325;490;52;60;300;267
V.tenuifolia tenuifolia;SALA95040(1);1.4;0.51;0.61;0.33;0.39;0.36;17.77;7.04;6.6;1.87;7.13;1.9;10.1;2.86;9.94;2.74;9.02;3.56;4.2;4.26;0.54;0.37;4;2
V.tenuifolia tenuifolia;SALA95040(2);0;1.68;0.51;0.47;0.49;0.45;11.52;10.01;2.71;3.85;4.91;2.17;9.94;2.36;2.94;2.3;3.64;5.54;2.4;5.01;0.61;0.7;4;2
V.tenuifolia tenuifolia;SALA95040(3);0;0;0.4;0.44;0.41;0.67;14.86;13.35;6.94;4.65;8.98;4.85;11.97;8.32;11.97;6.76;7.54;1.85;6.11;6.16;0.61;0.43;3;3
V.tenuifolia tenuifolia;SALA95040;47;73;51;41;43;49;1472;1013;542;346;701;297;1067;451;828;393;673;365;424;514;59;50;367;233
V.tenuifolia tenuifolia;MAF108794(1);0;3.22;0.47;0.58;0.52;0.82;14.84;14.88;8.2;1.09;5.53;0.92;10.18;2.13;6.84;2.13;4.15;7.3;2.5;4.78;1;0.85;5;4
V.tenuifolia tenuifolia;MAF108794(2);0;0;0.71;0.64;0.49;0.82;16.74;14.56;4.04;2.97;4.93;3.13;6.96;3.58;4.32;3.5;1.84;7.31;7.91;8.16;1.58;0.83;3;2
V.tenuifolia tenuifolia;MAF108794(3);0.73;;0.74;;0.47;;8.07;;1.73;;2.66;;3;;2.88;;3.98;;3.15;;0.52;;3;
V.tenuifolia tenuifolia;MAF108794;24;161;64;61;49;82;1322;1472;466;203;437;203;671;286;468;282;332;731;452;647;103;84;367;300
V.tenuifolia tenuifolia;VAB80719(1);1.22;1.72;0.54;0.59;0.58;0.54;14.25;16.24;6.26;2.69;8.26;3.69;9.15;5.89;6.77;4.86;10.29;10.79;2.63;6.82;0.77;0.92;6;2
V.tenuifolia tenuifolia;VAB80719(2);1.81;;0.62;;0.71;;11.35;;3.82;;5.3;;7.84;;7.72;;5.59;;2.82;;0.92;;4;
V.tenuifolia tenuifolia;VAB80719(3);0;0;0.59;0.9;0.69;0.76;9.64;10;3.56;3.58;5.83;3.04;7.28;2.96;5.88;1.76;2.52;2.89;2.67;3.21;0.95;0.65;3;2
V.tenuifolia tenuifolia;VAB80719;101;86;58;75;66;65;1175;1312;455;314;646;337;809;443;679;331;613;684;271;502;88;79;433;200
V.tenuifolia tenuifolia;JACA9857(1);0;0;0.29;0.37;0.47;0.46;7.09;8.04;3.16;2.87;4.17;2.05;8.66;3.06;8.53;3.04;3.25;4.06;0.97;5.07;0.49;0.61;4;2
V.tenuifolia tenuifolia;JACA9857(2);0.62;0;0.49;0.43;0.66;0.35;7.28;9.01;1.57;3.85;3.12;1.8;6.7;2.75;4.02;2.3;3.03;5.11;1;3.96;0.57;0.8;4;2
V.tenuifolia tenuifolia;JACA9857;31;0;39;40;57;41;719;853;237;336;365;193;768;291;628;267;314;459;99;452;53;71;400;200
V.tenuifolia tenuifolia;JACA77571(1);0.51;1.64;0.5;0.4;0.49;0;6.88;9.17;4.58;2.15;6.28;0;8.58;2.75;8.17;2.75;0.95;5.02;1.76;5.89;0.63;0.62;4;1
V.tenuifolia tenuifolia;JACA77571(2);0;;0.46;;0.5;;8.7;;3.78;;6.11;;10.47;;8.79;;1.57;;2.67;;0.78;;4;
V.tenuifolia tenuifolia;JACA77571(3);0.61;;0.44;;0.53;;9.21;;3.21;;4.78;;5.99;;5.78;;5.95;;1.83;;0.79;;4;
V.tenuifolia tenuifolia;JACA77571;37;164;47;40;51;0;826;917;386;215;572;0;835;275;758;275;282;502;209;589;73;620;400;100
V.tenuifolia tenuifolia;SALA33052(1);1.31;1.55;0.65;0.48;0.62;0.56;11.46;8.2;5.91;2.38;9.38;3.05;18.08;2.61;8.03;2.23;3.01;1.84;4.38;5.34;0.67;0.69;5;3
V.tenuifolia tenuifolia;SALA33052(2);0;0.89;0.64;0.47;0.66;0.51;7.71;9.73;2.98;3.52;3.33;2.96;7.07;6.57;4.24;4.11;2.81;3.15;2.38;5.26;0.74;0.73;4;3
V.tenuifolia tenuifolia;SALA33052(3);0;;0.48;;0.51;;10.87;;5.83;;7.35;;10.04;;10.04;;4.49;;5.18;;0.87;;2;
V.tenuifolia tenuifolia;SALA33052;44;122;59;48;60;54;1001;897;491;295;669;301;1173;459;744;317;344;250;398;530;76;71;367;300
V.tenuifolia tenuifolia;RNG/Heywood/16-V-1971(1);0;;0.62;;0.7;;7.82;;3.55;;5.56;;9.13;;7.24;;5.27;;2.48;;0.8;;4;
V.tenuifolia tenuifolia;RNG/Heywood/16-V-1971(2);0;;0.44;;0.68;;7.07;;2.07;;4.34;;6.98;;5.28;;4.59;;2.59;;0.56;;3;
V.tenuifolia tenuifolia;RNG/Heywood/16-V-1971(3);0;0.92;0.35;0.52;0.45;0.5;8.48;11.7;5.37;3.42;4.36;3.27;9.95;5.21;6.19;4.22;1.11;4.77;2.47;5.37;0.78;1.46;4;3
V.tenuifolia tenuifolia;RNG/Heywood/16-V-1971;0;92;47;52;61;50;779;1170;366;342;475;327;869;521;624;422;366;477;251;537;71;146;367;300
V.tenuifolia tenuifolia;K/Reverchon/VI-1891(1);0;0;1.09;0.7;0.55;0.47;9.87;9.36;2.73;1.57;1.55;1.3;4.3;2.05;3.45;2.05;3.4;3.79;4.64;4.04;1.51;1.08;3;4
V.tenuifolia tenuifolia;K/Reverchon/VI-1891(2);0;;0.65;;0.55;;10.51;;2.54;;2.91;;7.39;;5.45;;7.31;;3.18;;1.64;;4;
V.tenuifolia tenuifolia;K/Reverchon/VI-1891(3);0;0;0.59;0.69;0.72;0.77;9.76;9.65;0.99;1.32;1.18;3.38;3.4;3.46;3.15;2.44;6.8;6.48;2.28;3.24;1.8;1.41;3;4
V.tenuifolia tenuifolia;K/Reverchon/VI-1891;0;0;78;70;61;62;1005;951;209;145;188;234;503;276;402;225;584;514;337;364;165;125;333;400
V.tenuifolia tenuifolia;BC113724(1);0.71;0.77;0.77;0.48;0.58;0.53;15.75;15.41;12.71;8.77;4.15;9.14;13.67;15.12;10.18;13.34;1.8;3.72;7.77;6.66;0.8;0.78;4;4
V.tenuifolia tenuifolia;BC113724(2);0;;0.4;;0.38;;11.55;;10.66;;3.8;;12.37;;7.71;;5.13;;4.38;;0.6;;4;
V.tenuifolia tenuifolia;BC113724(3);0;;0.42;;0.34;;11.72;;6.57;;4.21;;12.39;;9.14;;3.78;;6.53;;0.46;;5;
V.tenuifolia tenuifolia;BC113724;24;77;53;48;43;53;1301;1541;998;877;405;914;1281;1512;901;1334;357;372;623;666;62;78;433;400
V.teucrioides;SALA149270(1);0;0;0.85;0.37;0.62;0.5;13.55;13.55;0.68;0.24;0.4;0.42;4.24;2.77;4.12;2.37;8.79;9.04;0.98;4.4;1.88;2.41;5;2
V.teucrioides;SALA149270(2);0;2.9;0.36;0.24;0.29;0;9.35;7.17;0.16;0.11;0.12;0;3.12;1.7;3.05;1.7;6.46;3.6;0.7;2.07;1.29;1.13;5;1
V.teucrioides;SALA149270(3);0;0;0.51;0;0.71;0;14.2;12.85;0.23;0;0.37;0;4.23;1.85;4.05;1.5;7.89;8.19;1.45;0;2.24;0;3;0
V.teucrioides;SALA149270;0;97;57;20;54;17;1237;1119;36;12;30;14;386;211;374;186;771;694;104;216;180;118;433;100
V.teucrioides;SALA149329(1);0.61;0;0.36;0.37;0.34;0.43;7.46;5.82;0.46;0.25;0.31;0.34;3.75;2.18;3.36;2.05;5.31;3.3;0.61;1.43;1.41;1.21;4;2
V.teucrioides;SALA149329(2);0.67;0;0.77;0;0.6;0;9.35;8.23;0.49;0;0.37;0;4.53;1.84;4.21;1.65;5.09;5.65;1.96;0;1.95;0;2;0
V.teucrioides;SALA149329(3);1.62;0;0.43;0.39;0.29;0;8.78;7.46;0.51;0.18;0.35;0;3.46;2.23;2.87;2.12;6.82;4.58;0.99;2.22;1.83;1.49;3;1
V.teucrioides;SALA149329;97;0;52;25;41;14;853;717;49;14;34;11;391;208;348;194;574;451;119;122;173;90;300;100
V.teucrioides;SALA149330(1);1.31;0;0.3;0.36;0.26;0.49;11.86;11.62;0.37;0.71;0.58;0.4;3.17;2.42;2.83;2.03;6.15;7.83;1.37;2.13;1.81;1.58;4;5
V.teucrioides;SALA149330(2);0.74;0.62;0.54;0.41;0.73;0.45;11.78;11.52;0.52;0.4;0.79;0.35;3.41;3.48;3.19;3.33;7.5;6.02;1.82;1.88;1.03;1.19;5;5
V.teucrioides;SALA149330(3);0.85;0.43;0.41;0.46;0.46;0.52;10.98;10.7;0.36;0.4;0.38;0.39;3.91;2.86;3.8;2.54;5.7;5.12;0.85;2.22;1.66;0.86;4;3
V.teucrioides;SALA149330;97;35;42;41;48;49;1154;1128;42;50;58;38;350;292;327;263;645;632;135;208;150;121;433;433
V.teucrium;BM68159(1);0;0;1.81;0.59;1.05;1.07;40.61;31.59;2.66;0.43;2.18;0.41;21.65;6.61;19.31;5.84;13.04;12.81;6.91;9.89;5.67;4.46;8;7
V.teucrium;BM68159(2);0;0;0.96;0.64;1.26;0.83;39.12;20.48;0.31;0.72;1.37;0.36;18.48;4.49;14.73;4.17;9.61;8.67;3.47;4.42;4;1.99;12;8
V.teucrium;BM68159;0;0;139;62;116;95;3987;2604;149;58;178;39;2007;555;1702;501;1133;1074;519;716;484;323;1000;750
V.teucrium;MA333222(1);0;0;0.71;0.71;1.81;0.39;34.19;27.85;0.91;0.6;0.74;0.51;20.94;11.86;20.86;11.7;16.46;11.26;1.3;1.58;8.55;2.55;9;10
V.teucrium;MA333222(2);0;0;0.87;0.5;0.78;0.42;52.31;30.19;0.95;0.41;0.63;0.38;26.13;6.17;17.15;5.97;8.14;6.45;4.41;4.41;4.09;2.73;13;9
V.teucrium;MA333222(3);;0;;0.31;;0.45;;22.09;;0.31;;0.23;;3.74;;3.24;;13.31;;3.85;;2.1;;11
V.teucrium;MA333222;0;0;79;51;130;42;4325;2671;93;44;69;37;2354;726;1901;697;1230;1034;286;328;632;246;1100;1000
V.teucrium;BM68135(1);0;;1.1;;1.29;;37.62;;1.3;;1.84;;15.55;;15.55;;14.93;;3.16;;4.77;;12;
V.teucrium;BM68135(2);0;0;0.91;0.63;1.15;1.28;31.2;19;0.93;0.22;1.51;0.32;17.61;3.21;15.64;2.97;8.07;14.11;4.65;2.59;4.94;1.58;11;5
V.teucrium;BM68135(3);0;0;1.5;0.28;1.22;0.47;30.15;22.37;1.35;0.38;0.9;0.32;18.02;4.9;15.66;4.56;7.89;12.77;2.88;3.44;5.01;2.24;12;7
V.teucrium;BM68135;0;0;117;46;122;88;3299;2069;119;30;142;32;1706;406;1562;377;1030;1344;356;302;491;191;1167;600
V.teucrium;BM68550(1);0;;0.38;;0.87;;31.88;;0.36;;0.91;;14.77;;14.33;;6.05;;2.5;;2.07;;11;
V.teucrium;BM68550(2);0;0;1.44;1.08;2.43;1.29;46.79;38.37;1.4;0.29;1.55;1.09;20.51;17.3;19.17;15.87;13;10.45;2.53;2.33;3.25;3.07;9;13
V.teucrium;BM68550(3);0;;1.4;;1.81;;23.24;;1.49;;1.47;;14.5;;12.58;;2.51;;3.2;;3.4;;11;
V.teucrium;BM68550;0;0;107;108;170;129;3397;3837;108;29;131;109;1659;1730;1536;1587;719;1045;274;233;291;307;1033;1300
V.teucrium;SALA93469(1);0;0;2.31;1.63;2.91;2.08;27.89;32.25;1.32;1.16;1.53;0.52;17.92;15.02;17.62;13.82;7;7.09;1.5;4.79;3.13;5.4;11;10
V.teucrium;SALA93469(2);0;0;1.99;0.76;1.98;0.9;32.59;27.24;0.71;0.31;0.62;1.03;20.82;10.87;20.13;10.09;13.81;9.99;1.25;2.94;3.05;3.65;11;12
V.teucrium;SALA93469(3);0;;0.63;;1.46;;22.22;;0.8;;0.99;;10.13;;9.22;;5.29;;1.98;;1.91;;8;
V.teucrium;SALA93469;0;0;164;120;212;149;2757;2975;94;74;105;78;1629;1295;1566;1196;870;854;158;387;270;453;1000;1100
V.teucrium;SALA124562(1);0;0;1.22;1.5;1.46;1.16;45.68;41.8;0.64;0.65;1.71;0.93;13.99;11.16;13.07;10.88;16.46;16.88;3.37;2.7;2.13;2.19;12;15
V.teucrium;SALA124562(2);0;0;1.69;0.6;1.35;1.01;54.99;57.58;1.25;0.7;1.42;0.93;20.57;15.93;13.61;15.08;13.11;15.24;5.08;3.07;3.47;2.63;15;16
V.teucrium;SALA124562;0;0;146;105;141;109;5034;4969;95;68;157;93;1728;1355;1334;1298;1479;1606;423;289;280;241;1350;1550
V.teucrium;SALA124578(1);0;0;1;0.65;2.01;0.64;42.06;19.53;0.95;0.47;2.03;0.44;22.28;4.42;18.44;4.28;14.37;10.09;2.07;1.85;3.36;1.33;11;9
V.teucrium;SALA124578(2);0;0;1.29;1.05;2.14;0.99;46.49;33.74;1.79;0.75;2.44;0.8;28.69;13.34;22.31;10.83;12.05;6.43;3.17;3.13;5.06;3.38;11;12
V.teucrium;SALA124578(3);0;0;1.35;0.62;1.65;0.56;44.86;35.36;1.15;0.39;1.5;0.44;27.45;11.05;22.95;10.42;12.84;11.16;3.36;3.87;4.45;2.52;13;13
V.teucrium;SALA124578;0;0;121;77;193;73;4447;2954;130;54;199;56;2614;960;2123;851;1309;923;287;295;429;241;1167;1133
V.teucrium;SALA124597(1);0;0;1.63;1.02;1.21;0.93;31.5;13.62;1.49;0.42;1.03;0.55;20.77;4.29;17.18;4.14;8.57;5.75;2.19;2.83;3.54;1.89;13;6
V.teucrium;SALA124597(2);0;0;1.62;0.59;2.09;0.73;29.14;30.67;1.26;0.94;1.92;0.72;18.22;11.84;18.04;10.47;8.48;7.18;1.08;4.84;2.25;4.02;13;11
V.teucrium;SALA124597(3);0;0;1.69;0.82;1.41;0.83;32.55;23.82;2.25;0.68;1.84;0.59;20.73;10.04;15.71;8.62;8.72;7.98;2.71;4.83;4.3;3.62;12;10
V.teucrium;SALA124597;0;0;165;81;157;83;3106;2270;167;68;160;62;1991;872;1698;774;859;697;199;417;336;318;1267;900
V.teucrium;WU/Schneider/14-VI-1937(1);0;;1.39;;0.96;;23.91;;0.99;;0.7;;10.77;;10.07;;8.1;;3.18;;4.59;;8;
V.teucrium;WU/Schneider/14-VI-1937(2);0;;0.9;;1.14;;24.78;;0.71;;1.23;;11.47;;10.76;;5.78;;2.09;;3.27;;8;
V.teucrium;WU/Schneider/14-VI-1937(3);0;0;1.08;0.84;2.14;0.92;32.1;20.18;1.49;0.72;3.15;1.35;16.35;5.99;13.17;4.92;10.28;5.26;2.84;1.94;4.15;1.45;9;7
V.teucrium;WU/Schneider/14-VI-1937;0;0;112;84;141;92;2693;2018;106;72;169;135;1286;599;1133;492;805;526;270;194;400;145;833;700
V.teucrium;SALA124600(1);1.44;0;1.52;0.52;1.87;0.91;27.65;23.84;0.94;0.51;1.05;0.72;12.13;7.47;11.95;6.94;10.4;8.76;2.19;4.46;4.38;4.76;6;7
V.teucrium;SALA124600(2);0;0;0.7;0.55;1.25;0.48;27.18;20.4;0.73;0.54;1.57;0.6;10.46;5.36;9.18;3.79;10.25;7.52;1.83;1.84;3.97;1.66;7;8
V.teucrium;SALA124600(3);0;0;1.06;0.65;1.48;0.95;39.16;26.04;0.95;0.56;1.51;1.11;12.44;6.83;11.35;6.59;11.7;10.26;4.63;3.01;4.69;2.71;10;8
V.teucrium;SALA124600;48;0;109;57;153;78;3133;2343;87;54;138;81;1168;655;1083;577;1078;885;288;310;435;304;767;767
V.teucrium;SALA124598(1);0;0;1.21;0.59;2.02;0.54;51.8;25.76;1.4;0.51;1.9;0.66;22.62;7.78;19.12;7.16;14.86;15.41;6.81;3.83;7.35;3.04;13;10
V.teucrium;SALA124598(2);0;0;1.33;0.4;1.59;0.62;49.13;21.37;2.17;0.19;2.94;0.56;21.23;6.75;17.13;6.01;12.84;9.29;2.57;2.56;3.86;2.22;14;13
V.teucrium;SALA124598(3);0;;0.51;;1.13;;33.94;;1.14;;1.16;;14.5;;10.75;;6.73;;2.32;;2.22;;14;
V.teucrium;SALA124598;0;0;102;50;158;58;4496;2357;157;35;200;61;1945;727;1567;659;1148;1235;390;320;448;263;1367;1150
V.teucrium;SALA124602(1);0;0;1.25;0.94;1.06;0.53;24.99;23.85;0.41;0.76;0.64;0.55;11.47;7.63;10.34;7.56;5.31;12.11;1.92;4.28;1.96;3.52;12;10
V.teucrium;SALA124602(2);0;0;1.39;0.41;0.85;0.71;24.16;20.3;0.85;0.2;0.9;0.59;10.67;5.98;8.98;5.91;5.51;8.32;2.84;2.92;2.26;2.33;12;10
V.teucrium;SALA124602(3);0;0;1.26;0.7;1.54;0.66;37.86;39.89;0.32;0.52;1.48;0.34;10.54;8.28;10.45;8.01;17.32;20.39;4;3.64;4.56;3.33;11;10
V.teucrium;SALA124602;0;0;130;68;115;63;2900;2801;53;49;101;49;1089;730;992;716;938;1361;292;361;293;306;1167;1000
V.teucrium;MA185323(1);0;;1.55;;3.09;;31.34;;1.93;;3.29;;17.54;;13.69;;6.81;;3.92;;2.92;;9;
V.teucrium;MA185323(2);0;;0.71;;1.07;;27.41;;0.82;;1.27;;13.34;;11.73;;7.26;;2.22;;2.53;;10;
