SPECIES;ACCESION.NUMBER;PLM ;PLS;FTWM;FTWS;STWM;STWS;LLM;LLS;FTLM;FTLS;STLM;STLS;MLWM;MLWS;WMPM;WMPS;DLBMWM;DLBMWS;DLAUM;DLAUS;TLWM;TLWS;NTM;NTS
V.satureiifolia;BC832014;33;0;33;0;46;0;1367;799;62;0;58;0;337;122;294;103;538;445;295;;197;;300;0
V.satureiifolia;JACA71965(1);0.8;0.83;0.59;0.41;0.47;0.37;12.44;7.98;0.58;0.3;0.28;0.35;3.57;2.14;2.99;1.83;6.42;5.22;1.9;1.7;1.68;1.58;4;3
V.satureiifolia;JACA71965(2);0.7;0;0.76;0.21;0.88;0.24;12.63;11.75;0.61;0.51;0.83;0.53;5.76;4.11;5.62;4.11;7.95;5.02;1.31;1.83;1.6;1.87;4;4
V.satureiifolia;JACA71965(3);0;0;0.54;0.5;0.59;0.73;11.74;11.99;0.48;0.49;0.46;0.39;6.02;3.94;5.44;3.94;5.94;7.91;0.69;1.2;1.16;1.37;6;4
V.satureiifolia;JACA71965;50;28;63;37;65;45;1227;1057;56;43;52;42;512;340;468;329;677;605;130;158;148;161;467;366
V.satureiifolia;JACA10062571(1);0;0;1.17;0.65;1.22;0.42;12.7;14.47;1.16;0.4;0.9;0.32;3.44;2.89;3.32;2.6;5.03;9.41;1.35;2.53;1.59;1.59;5;2
V.satureiifolia;JACA10062571(2);1.28;0.75;0.59;0.49;0.98;0.25;14.23;16.01;0.58;0.26;0.44;0.22;6.14;3.99;5.6;3.81;7.42;8.97;2.72;2.86;3.12;2.66;3;3
V.satureiifolia;JACA10062571(3);0;0;1.1;;0.62;0.47;0.48;14.2;0.8;0.57;0.68;0.49;7.24;3.57;6.52;3.1;5.03;8.31;2.1;2.04;2.04;1.46;6;3
V.satureiifolia;JACA10062571;43;25;95;57;94;38;914;1489;85;41;67;34;561;348;515;317;583;890;206;248;225;190;467;267
V.satureiifolia;JACA680871(1);1.13;;0.56;;0.87;;8.25;;0.8;;0.55;;6.2;;5.52;;4.93;;2.93;;0.92;;4;
V.satureiifolia;JACA680871(2);0;0;0.57;0.73;0.86;0.7;10.92;7.4;0.37;0.25;0.63;0.39;6.18;3.25;5.61;3.27;6.46;4.25;3.4;1.68;2.56;2.39;5;3
V.satureiifolia;JACA680871(3);1.16;0.62;0.53;0.5;0.57;0.43;9.69;6.84;0.2;0.21;0.35;0.29;5.53;2.3;5.39;2.2;5.36;4.14;1.62;1.43;3.11;1.52;4;2
V.satureiifolia;JACA680871;76;31;55;62;77;57;962;712;46;23;51;34;598;578;551;274;558;420;265;156;220;195;433;250
V.satureiifolia;SALA124593(1);0;0;0.87;0.51;0.64;0.55;10.08;8.88;0.7;0.59;0.58;0.56;4.03;2.22;3.84;1.95;6.36;6.74;1.95;1.88;1.58;1.42;5;2
V.satureiifolia;SALA124593(2);;0.37;;0.63;;0.7;;14.26;;0.52;;0.58;;2.72;;2.52;;10.76;;2.04;;1.74;;2
V.satureiifolia;SALA124593(3);;0.7;;0.68;;0.36;;10.39;;0.8;;0.21;;2.45;;2.45;;5.51;;1.11;;1.04;;2
V.satureiifolia;SALA124593;0;36;87;61;64;54;1008;1118;70;64;58;45;403;246;384;231;636;767;195;168;158;140;500;200
V.satureiifolia;SALA93471(1);0;0.53;0.47;0.48;0.49;0.41;6.41;6.77;0.71;0.59;0.56;0.39;3.27;1.95;2.92;1.79;3.48;3.63;0.94;0.93;1.27;0.99;4;3
V.satureiifolia;SALA93471(2);1.06;0.42;0.58;0.38;0.76;0;9.03;7.57;0.17;0.34;0.5;0;4.09;1.76;3.64;1.61;4.95;4.32;0.88;4.06;1.55;1.72;5;1
V.satureiifolia;SALA93471(3);0;0;0.53;0.44;0.47;0.33;10.72;6.89;0.53;0.27;0.6;0.25;4.88;1.55;4.84;1.55;5.55;3.52;1.9;1.33;1.55;0.85;4;3
V.satureiifolia;SALA93471;35;32;53;43;57;25;872;708;47;40;55;21;408;175;380;165;466;382;124;211;146;119;433;233
V.satureiifolia;SALA124594(1);0;0;1.61;;0.72;;15.16;17.38;0.71;0;0.59;0;3.3;1.55;3.28;1.51;5.5;7.48;3.38;;1.5;;5;0
